TOTAIS DE VENDAS POR DIA
Dia             Total  Média/Dia
25/12/2015   28541.65     620.47
26/12/2015   35509.60     959.72
28/12/2015   37732.07     898.38
29/12/2015   32801.18     697.90
30/12/2015   25410.42     651.55
31/12/2015   27796.24     604.27

TOTAIS DE VENDAS POR PRODUTO
Prod.     VlrTot       Qtde   Pç Médio     Lucrat.
12100   39550.21   12380.91       3.19       38.9%
12200  331221.00   12266.83      27.00       13.9%
12300  230244.98   11657.83      19.75       13.0%
12400  222382.97   13632.06      16.31        9.1%
12500  316102.00   12500.41      25.29       18.6%
12600  460028.63   12168.66      37.80        8.6%
12700   52880.16   11580.64       4.57       17.1%
12800  123263.70   12673.39       9.73       23.9%
15100  418253.78   55315.00       7.56       35.0%
15200 4012170.25   59902.00      66.98        8.2%
15300  426857.81   58155.00       7.34       31.8%
15400  462647.56   57863.00       8.00       24.0%
15500  855915.69   57252.00      14.95       16.6%
15600  585133.56   59741.00       9.79       18.7%
15700  490329.91   61322.00       8.00       24.2%
15800  269958.13   53114.00       5.08       28.7%

TOTAL E ESTATÍSTICAS DO PERÍODO
Total Geral de Vendas (R$)          9296941.00
Quantidade de produtos vendidos      561524.75
Média de Vendas por dia útil (R$)    202107.41
Média de Vendas por produto (R$)         16.56
Lucratividade Média                      22.3%

PRODUTOS MAIS LUCRATIVOS
Lucratividade média = 22.3%
Prod.   Lucrat.
12100     38.9%
15100     35.0%
15300     31.8%
15800     28.7%
15700     24.2%
15400     24.0%
12800     23.9%

CONTRIBUIÇÃO DE CADA PRODUTO
Prod.      VlrTot    Contrib.
15200  4012170.25       43.2%
15500   855915.69        9.2%
15600   585133.56        6.3%
15700   490329.91        5.3%
15400   462647.56        5.0%
12600   460028.63        4.9%
15300   426857.81        4.6%
15100   418253.78        4.5%
12200   331221.00        3.6%
12500   316102.00        3.4%
15800   269958.13        2.9%
12300   230244.98        2.5%
12400   222382.97        2.4%
12800   123263.70        1.3%
12700    52880.16        0.6%
12100    39550.21        0.4%
